,기업명,장비 모델명,구성품,장치명,모델명,사양,제조사,제조국,표준 가격(원)
35,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 10,아날로그 카메라,DS-2CE16H0T-ITPF,"고정형, 실내외형, 5.0메가픽셀, IR20M",hikvision,외국,"130,000원"
36,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 11,IP 카메라,DS-2CD1021-I,"고정형, 실내외형, 2.0메가픽셀, IR30M",hikvision,외국,"180,000원"
37,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 12,DVR녹화장비,DS-7108HQHI-F1/N,8CH DVR,hikvision,외국,"250,000원"
38,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 13,NVR녹화장비,DS-7108NI-Q1,8CH DVR,hikvision,외국,"300,000원"
39,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 14,PC,JECS-NU591B,"인텔 쿼드코어, 8GB, SSD 256GB",젝스컴퍼니,대한민국,"1,800,000원"
40,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 15,터치 모니터,,17”,코리아정보통신,대한민국,"250,000원"
41,농업회사법인 주식회사 그린첨단과학온실,GODS-5000,옵 션 1,CCTV,DH-SF145,"400만화소, 녹화(옵션)",다후아,중국,"60,000원"
42,농업회사법인 주식회사 그린첨단과학온실,GODS-5000,옵 션 2,POE(허브),POE505F,4ch 카메라 POE 허브,(주) 이지넷유비쿼터스,한국,"50,000원"
43,농업회사법인 주식회사 그린첨단과학온실,GODS-5000,옵 션 3,NVR(녹화기),NVR2104HS-P-4KS2,4ch 녹화,다후아,중국,"150,000원"
44,주식회사 큐빅스,QSM,옵 션 1,온습조도측정기기,QWTHL,"온도,습도,조도 측정",(주)큐빅스,대한민국,0원
45,주식회사 큐빅스,QSM,옵 션 2,온습도조도CO2측정기,QWTHLC,"온도,습도,조도,CO2농도 측정",(주)큐빅스,대한민국,0원
46,주식회사 큐빅스,QSM,옵 션 3,표면온도측정기,QWIT,"적외선센서(표면온도,주변온도 측정)",(주)큐빅스,대한민국,0원
47,주식회사 큐빅스,QSM,옵 션 4,산소농도측정기,QWO,"산소농도,산소부분압,대기압 측정",(주)큐빅스,대한민국,0원
48,주식회사 큐빅스,QSM,옵 션 5,토양온습도측정기,QWSTH,"토양 온도,습도 측정",(주)큐빅스,대한민국,0원
49,주식회사 큐빅스,QSM,옵 션 6,토양온습도전도도측정,QWSTHE,"토양 온도,습도,전도도 측정",(주)큐빅스,대한민국,0원
50,주식회사 큐빅스,QSM,옵 션 7,유량측정기,QWWF,유량(물사용량) 측정,(주)큐빅스,대한민국,0원
51,주식회사 큐빅스,QSM,옵 션 8,DC전류측정기,QWDC,"DC형 전류,전압,전력 측정",(주)큐빅스,대한민국,0원
52,주식회사 큐빅스,QSM,옵 션 9,AC전류측정기,QWAC,"AC형 전류,전압,전력,역율 측정",(주)큐빅스,대한민국,0원
53,주식회사 큐빅스,QSM,옵 션 10,수위감지기(오뚜기형),QWWLF,수위 감지 (오뚜기볼 형),(주)큐빅스,대한민국,0원
54,주식회사 큐빅스,QSM,옵 션 11,수위/거리측정기(초음파형),QWUL,수위 또는 거리 측정(초음파센서형),(주)큐빅스,대한민국,0원
